"id","code","market_cap"
767,"BRI","216668813.00"
768,"VLUE","216656599.00"
769,"KPG","215550000.00"
770,"PLY","215499811.00"
771,"WMA","215350894.00"
772,"FEX","215190195.00"
773,"SPL","214683035.00"
774,"CNB","213827514.00"
775,"GNP","213269938.00"
776,"MAU","212073861.00"
777,"IOD","211817577.00"
778,"TBR","211446350.00"
779,"QGL","210856250.00"
780,"SFX","208094489.00"
781,"FUEL","206576368.00"
782,"GVF","206361472.00"
783,"RBTZ","205918449.00"
784,"VLC","205762309.00"
785,"DRO","205416264.00"
786,"EOS","204627027.00"
787,"A2B","203667547.00"
788,"RDT","202523908.00"
789,"GLOB","201589497.00"
790,"FID","201456787.00"
791,"A1M","201067611.00"
792,"ZER","200051111.00"
793,"BRL","199970970.00"
794,"EZL","199712900.00"
795,"NZM","198626703.00"
796,"ATEC","197180920.00"
797,"SDG","197149702.00"
798,"MVE","197032740.00"
799,"SLH","196711387.00"
800,"FZO","196620815.00"
801,"AEE","196042655.00"
802,"TSK","195188527.00"
803,"RBL","194404156.00"
804,"ENR","193807633.00"
805,"AMI","193802969.00"
806,"WGN","193247225.00"
807,"WAR","192734564.00"
808,"KED","192309950.00"
809,"TGP","191748050.00"
810,"MVB","191534207.00"
811,"PGC","191210319.00"
812,"OOO","191185826.00"
813,"CYL","190360346.00"
814,"CEL","188130223.00"
815,"BUB","187839352.00"
816,"HVST","187477271.00"
817,"COI","186919021.00"
818,"BTI","186502908.00"
819,"XRF","186387694.00"
820,"FRI","185043737.00"
821,"MI6","184860000.00"
822,"AVJ","184834981.00"
823,"QRE","183799484.00"
824,"CKA","183421327.00"
825,"LM8","181954285.00"
826,"SLA","181143214.00"
827,"RFG","180709887.00"
828,"CII","179150716.00"
829,"AVL","178944509.00"
830,"ERTH","178411013.00"
831,"RXM","177836276.00"
832,"PCL","177192902.00"
833,"EGG","176168711.00"
834,"TNT","176043675.00"
835,"MAET","175833581.00"
836,"VCF","174686062.00"
837,"HCH","174390001.00"
838,"GGUS","173773792.00"
839,"ONE","172931018.00"
840,"COB","172076751.00"
841,"AXE","172021734.00"
842,"XAM","171971540.00"
843,"PRT","170343591.00"
844,"SRL","170209391.00"
845,"TGF","170045837.00"
846,"TIG","169867131.00"
847,"CRD","168484398.00"
848,"BRB","168344323.00"
849,"DRUG","167720639.00"
850,"CYM","167718356.00"
851,"RDG","167336744.00"
852,"VIA","166624808.00"
853,"ALC","164848977.00"
854,"ATC","164078075.00"
855,"NOL","163323396.00"
856,"ESGI","162144167.00"
857,"GGOV","162128735.00"
858,"RCT","161901419.00"
859,"EOL","161843293.00"
860,"CAA","161537841.00"
861,"NXS","161092601.00"
862,"MTO","160898048.00"
863,"REX","160680668.00"
864,"BOC","160425000.00"
865,"MSTR","160394851.00"
866,"CHL","160160782.00"
867,"PPK","158934942.00"
868,"EEG","158489835.00"
869,"G1A","157905015.00"
870,"GAL","157111817.00"
871,"DNK","156542097.00"
872,"EUR","156370113.00"
873,"ADN","155500422.00"
874,"GT1","155473592.00"
875,"ESS","155188683.00"
876,"SZL","154985696.00"
877,"JRL","154923208.00"
878,"GRNV","154595637.00"
879,"LCY","153763829.00"
880,"CCV","153748529.00"
881,"POS","153181390.00"
882,"FOR","152966870.00"
883,"EL8","152825276.00"
884,"ERD","152738387.00"
885,"WDMF","152653115.00"
886,"OZR","152586460.00"
887,"IKO","152541289.00"
888,"SPY","152413148.00"
889,"RGB","152119450.00"
890,"IMA","151719786.00"
891,"RWL","151258892.00"
892,"COS","151057419.00"
893,"EBND","150946207.00"
894,"PCG","150631066.00"
895,"E25","150463691.00"
896,"LIS","150447054.00"
897,"UMAX","150173198.00"
898,"MDR","149660207.00"
899,"WAT","149183412.00"
900,"IHHY","148926240.00"
901,"NCZ","148482094.00"
902,"KKO","148309517.00"
903,"GDC","147977412.00"
904,"LEG","147975336.00"
905,"PEK","147961781.00"
906,"BKT","147907368.00"
907,"KIL","147730576.00"
908,"CCX","147269255.00"
909,"SSG","146733993.00"
910,"ANO","146644397.00"
911,"GOW","146605594.00"
912,"CVV","146151234.00"
913,"DCN","146016113.00"
914,"FOOD","145909771.00"
915,"ETPMAG","144320938.00"
916,"VVA","144006255.00"
917,"LFSPA","143250000.00"
918,"CLX","143157055.00"
919,"EGH","143005143.00"
920,"DEV","142749751.00"
921,"AZL","141665269.00"
922,"AVG","141477552.00"
923,"MIH","141092201.00"
924,"RTR","141018607.00"
925,"LRK","139922732.00"
926,"ASO","139341367.00"
927,"3DP","138950272.00"
928,"EVS","138776004.00"
929,"MVP","138519806.00"
930,"MCA","137835610.00"
931,"HGO","137661913.00"
932,"TVN","136934476.00"
933,"SHA","136922386.00"
934,"G6M","136409695.00"
935,"CNEW","135957191.00"
936,"PIQ","135791540.00"
937,"TPD","135659558.00"
938,"MHG","135000144.00"
939,"MXI","134987311.00"
940,"AND","134003352.00"
941,"VHM","133986187.00"
942,"HZR","132946120.00"
943,"EMV","132527090.00"
944,"QIP","132458277.00"
945,"ISO","132362669.00"
946,"EXR","132303410.00"
947,"CLNE","132202797.00"
948,"FBR","132080339.00"
949,"ACW","131856407.00"
950,"IKE","131778690.00"
951,"RHK","131701890.00"
952,"BCN","131486886.00"
953,"GLB","131440303.00"
954,"ICOR","130937433.00"
955,"SHJ","130812668.00"
956,"USD","130781914.00"
957,"BC8","130616582.00"
958,"RHY","130300553.00"
959,"X64","130184182.00"
960,"EGN","129416605.00"
